Company,Quarter,Market Value (in Millions)
China Mobile ,"July 1, 2007",327937.0
Citigroup,"January 1, 2007",252857.0
Citigroup,"July 1, 2007",232162.0
Citigroup,"April 1, 2007",253703.0
ExxonMobil,"October 1, 2007",511887.0
ExxonMobil,"July 1, 2007",513362.0
ExxonMobil,"January 1, 2007",429567.0
ExxonMobil,"April 1, 2007",472519.0
Gazprom,"April 1, 2007",245757.0
Gazprom,"January 1, 2007",245911.0
Gazprom ,"October 1, 2007",329591.0
Gazprom ,"July 1, 2007",260249.0
General Electric,"April 1, 2007",393831.0
General Electric,"July 1, 2007",424191.0
General Electric,"January 1, 2007",363611.0
General Electric ,"October 1, 2007",374637.0
ICBC,"October 1, 2007",338989.0
ICBC,"January 1, 2007",224788.0
ICBC,"July 1, 2007",279269.0
Microsoft,"July 1, 2007",276202.0
Microsoft,"January 1, 2007",272912.0
Microsoft,"April 1, 2007",281934.0
Microsoft ,"October 1, 2007",333054.0
Petrochina,"October 1, 2007",723952.0
Royal Dutch Shell,"April 1, 2007",266141.0
Royal Dutch Shell,"January 1, 2007",214018.0
Royal Dutch Shell,"October 1, 2007",269544.0
Royal Dutch Shell,"July 1, 2007",264397.0
Sinopec,"October 1, 2007",249645.0
Toyota,"January 1, 2007",230832.0
Toyota,"April 1, 2007",228009.0
BP,"October 1, 2006",218643.0
BP,"January 1, 2006",233260.0
BP,"July 1, 2006",215623.0
BP,"April 1, 2006",233151.0
Bank of America,"October 1, 2006",239758.0
Bank of America,"January 1, 2006",211706.0
Bank of America,"July 1, 2006",242451.0
Bank of America,"April 1, 2006",219504.0
Citigroup,"October 1, 2006",273691.0
Citigroup,"January 1, 2006",238935.0
Citigroup,"July 1, 2006",246727.0
Citigroup,"April 1, 2006",239862.0
ExxonMobil,"October 1, 2006",446943.0
ExxonMobil,"July 1, 2006",398906.0
ExxonMobil,"January 1, 2006",371631.0
ExxonMobil,"April 1, 2006",371187.0
Gazprom,"April 1, 2006",246341.0
Gazprom,"October 1, 2006",271482.0
Gazprom,"January 1, 2006",196339.0
Gazprom,"July 1, 2006",254634.3
General Electric,"October 1, 2006",383564.0
General Electric,"January 1, 2006",362527.0
General Electric,"April 1, 2006",342731.0
General Electric,"July 1, 2006",364414.0
HSBC,"April 1, 2006",201854.0
HSBC,"July 1, 2006",209774.0
ICBC,"October 1, 2006",254592.0
Microsoft,"July 1, 2006",272679.0
Microsoft,"April 1, 2006",237688.0
Microsoft,"October 1, 2006",293537.0
Microsoft,"January 1, 2006",281171.0
Pfizer,"July 1, 2006",206785.0
Royal Dutch Shell,"October 1, 2006",225781.0
Royal Dutch Shell,"January 1, 2006",211280.0
Royal Dutch Shell,"April 1, 2006",224925.0
Royal Dutch Shell,"July 1, 2006",216368.0
Toyota,"January 1, 2006",196731.0
Toyota,"October 1, 2006",241161.0
Walmart,"January 1, 2006",196860.0
Walmart,"April 1, 2006",200762.0
