Company,Quarter,Market Value (in Millions)
Apple,"July 1, 2020",1981000.0
Apple,"January 1, 2020",1113000.0
Apple,"April 1, 2020",1576000.0
Berkshire Hathaway,"January 1, 2020",440830.0
Berkshire Hathaway,"April 1, 2020",432570.0
Berkshire Hathaway,"July 1, 2020",509470.0
Berkshire Hathaway,"October 1, 2020",544780.0
Facebook,"October 1, 2020",776590.0
Facebook,"January 1, 2020",475460.0
Facebook,"April 1, 2020",675690.0
Facebook,"July 1, 2020",746100.0
Johnson & Johnson,"April 1, 2020",370590.0
Johnson & Johnson,"January 1, 2020",345700.0
Microsoft,"October 1, 2020",1682000.0
Microsoft,"April 1, 2020",1551000.0
Microsoft,"July 1, 2020",1592000.0
Microsoft,"January 1, 2020",1200000.0
TSMC,"October 1, 2020",565280.0
TSMC,"July 1, 2020",420440.0
Tencent,"July 1, 2020",646790.0
Tencent,"April 1, 2020",620920.0
Tencent,"October 1, 2020",683470.0
Tencent,"January 1, 2020",471660.0
Tesla,"October 1, 2020",668080.0
Visa,"April 1, 2020",412710.0
Visa,"July 1, 2020",425510.0
Visa,"January 1, 2020",357020.0
Alibaba Group,"April 1, 2019",439150.0
Alibaba Group,"January 1, 2019",472940.0
Alibaba Group,"July 1, 2019",435400.0
Alibaba Group,"October 1, 2019",569010.0
Alphabet,"July 1, 2019",838020.0
Alphabet,"October 1, 2019",922130.0
Alphabet,"January 1, 2019",818160.0
Alphabet,"April 1, 2019",751170.0
Amazon,"October 1, 2019",916150.0
Amazon,"July 1, 2019",858680.0
Amazon,"April 1, 2019",928540.0
Amazon,"January 1, 2019",874710.0
Apple,"April 1, 2019",911240.0
Apple,"October 1, 2019",1305000.0
Apple,"January 1, 2019",835670.0
Apple,"July 1, 2019",1012000.0
Berkshire Hathaway,"October 1, 2019",553530.0
Berkshire Hathaway,"April 1, 2019",521100.0
Berkshire Hathaway,"January 1, 2019",493750.0
Berkshire Hathaway,"July 1, 2019",508530.0
Facebook,"January 1, 2019",475730.0
Facebook,"July 1, 2019",508050.0
Facebook,"October 1, 2019",585320.0
Facebook,"April 1, 2019",551490.0
JPMorgan Chase,"July 1, 2019",376310.0
JPMorgan Chase,"October 1, 2019",437230.0
Johnson & Johnson,"January 1, 2019",372230.0
Johnson & Johnson,"April 1, 2019",370300.0
Microsoft,"October 1, 2019",1203000.0
Microsoft,"January 1, 2019",904860.0
Microsoft,"July 1, 2019",1062000.0
Microsoft,"April 1, 2019",1028000.0
Tencent,"July 1, 2019",398840.0
Tencent,"April 1, 2019",432080.0
Tencent,"January 1, 2019",440980.0
Tencent,"October 1, 2019",461370.0
Visa,"April 1, 2019",379271.0
Visa,"January 1, 2019",353710.0
Visa,"July 1, 2019",385370.0
Visa,"October 1, 2019",416790.0
Alibaba Group,"October 1, 2018",355130.0
Alibaba Group,"April 1, 2018",476040.0
Alibaba Group,"January 1, 2018",470930.0
Alibaba Group,"July 1, 2018",423600.0
Alphabet,"January 1, 2018",715404.0
Alphabet,"July 1, 2018",839740.0
Alphabet,"October 1, 2018",728360.0
Alphabet,"April 1, 2018",774840.0
Amazon,"January 1, 2018",700672.0
Amazon,"October 1, 2018",735900.0
Amazon,"July 1, 2018",976650.0
Amazon,"April 1, 2018",824790.0
Apple,"January 1, 2018",851317.0
Apple,"October 1, 2018",748680.0
Apple,"April 1, 2018",909840.0
Apple,"July 1, 2018",1091000.0
Berkshire Hathaway,"July 1, 2018",523520.0
Berkshire Hathaway,"January 1, 2018",492019.0
Berkshire Hathaway,"October 1, 2018",499590.0
Berkshire Hathaway,"April 1, 2018",463980.0
ExxonMobil ,"April 1, 2018",350270.0
Facebook,"October 1, 2018",375890.0
Facebook,"January 1, 2018",464189.0
Facebook,"April 1, 2018",562480.0
Facebook,"July 1, 2018",473850.0
JPMorgan Chase,"April 1, 2018",354780.0
JPMorgan Chase,"January 1, 2018",377410.0
JPMorgan Chase,"July 1, 2018",379440.0
JPMorgan Chase,"October 1, 2018",324660.0
Johnson & Johnson,"July 1, 2018",370650.0
Johnson & Johnson,"October 1, 2018",346110.0
Johnson & Johnson,"January 1, 2018",343780.0
Microsoft,"April 1, 2018",757640.0
Microsoft,"July 1, 2018",877400.0
Microsoft,"January 1, 2018",702760.0
Microsoft,"October 1, 2018",780520.0
Tencent,"April 1, 2018",478580.0
Tencent,"January 1, 2018",507990.0
Tencent,"October 1, 2018",375110.0
Tencent,"July 1, 2018",388080.0
Alibaba Group,"October 1, 2017",440712.0
Alibaba Group,"April 1, 2017",356390.0
Alibaba Group,"July 1, 2017",436850.0
Alphabet,"January 1, 2017",573570.0
Alphabet,"October 1, 2017",727040.0
Alphabet,"July 1, 2017",664550.0
Alphabet,"April 1, 2017",628610.0
Amazon,"January 1, 2017",423031.0
Amazon,"July 1, 2017",459435.0
Amazon,"October 1, 2017",563540.0
Amazon,"April 1, 2017",466471.0
Apple,"January 1, 2017",753718.0
Apple,"July 1, 2017",791726.0
Apple,"October 1, 2017",868880.0
Apple,"April 1, 2017",749124.0
Berkshire Hathaway,"April 1, 2017",418880.0
Berkshire Hathaway,"July 1, 2017",451840.0
Berkshire Hathaway,"October 1, 2017",489490.0
Berkshire Hathaway,"January 1, 2017",410880.0
ExxonMobil ,"July 1, 2017",348248.0
ExxonMobil ,"April 1, 2017",341947.0
ExxonMobil ,"January 1, 2017",339897.0
Facebook,"April 1, 2017",357176.0
Facebook,"October 1, 2017",512760.0
Facebook,"January 1, 2017",334552.0
Facebook,"July 1, 2017",399946.0
JPMorgan Chase,"January 1, 2017",313761.0
JPMorgan Chase,"October 1, 2017",371050.0
Johnson & Johnson,"July 1, 2017",347497.0
Johnson & Johnson,"October 1, 2017",375360.0
Johnson & Johnson,"January 1, 2017",337947.0
Johnson & Johnson,"April 1, 2017",357310.0
Microsoft,"April 1, 2017",528778.0
Microsoft,"October 1, 2017",659910.0
Microsoft,"July 1, 2017",568965.0
Microsoft,"January 1, 2017",508935.0
Tencent,"October 1, 2017",493340.0
Tencent,"July 1, 2017",405007.0
Tencent,"April 1, 2017",344879.0
Wells Fargo ,"January 1, 2017",278516.0
AT&T ,"April 1, 2016",261035.0
Alphabet,"January 1, 2016",535660.0
Alphabet ,"October 1, 2016",531970.0
Alphabet ,"July 1, 2016",535660.0
Alphabet ,"April 1, 2016",475320.0
Amazon,"October 1, 2016",356313.12
Amazon,"July 1, 2016",393030.0
Amazon,"January 1, 2016",281888.0
Amazon,"April 1, 2016",337641.0
Apple,"October 1, 2016",617588.49
Apple,"July 1, 2016",604475.0
Apple,"January 1, 2016",607465.0
Apple,"April 1, 2016",517069.0
Berkshire Hathaway,"July 1, 2016",358300.0
Berkshire Hathaway,"January 1, 2016",349740.0
Berkshire Hathaway,"October 1, 2016",404390.0
Berkshire Hathaway,"April 1, 2016",345860.0
ExxonMobil,"October 1, 2016",374280.0
ExxonMobil ,"July 1, 2016",358519.0
ExxonMobil ,"January 1, 2016",350991.0
ExxonMobil ,"April 1, 2016",383396.0
Facebook,"January 1, 2016",259192.0
Facebook,"July 1, 2016",297548.0
Facebook ,"April 1, 2016",263930.0
General Electric,"October 1, 2016",279545.92
General Electric ,"April 1, 2016",280927.0
General Electric ,"January 1, 2016",295546.0
General Electric ,"July 1, 2016",261876.0
JPMorgan Chase,"October 1, 2016",308768.42
Johnson & Johnson,"April 1, 2016",328234.0
Johnson & Johnson,"July 1, 2016",320836.0
Johnson & Johnson,"January 1, 2016",300604.0
Johnson & Johnson,"October 1, 2016",313432.46
Microsoft,"January 1, 2016",439734.0
Microsoft,"April 1, 2016",397268.0
Microsoft,"July 1, 2016",447290.0
Microsoft,"October 1, 2016",483160.28
Tencent ,"July 1, 2016",265603.0
Wells Fargo,"October 1, 2016",276779.12
Wells Fargo ,"January 1, 2016",246035.0
Alphabet,"October 1, 2015",534090.0
Amazon ,"October 1, 2015",323009.0
Apple,"January 1, 2015",724773.1
Apple,"October 1, 2015",598344.0
Apple,"April 1, 2015",722576.9
Apple,"July 1, 2015",621939.0
Berkshire Hathaway,"January 1, 2015",356510.7
Berkshire Hathaway,"October 1, 2015",323750.0
Berkshire Hathaway,"July 1, 2015",318180.0
Berkshire Hathaway,"April 1, 2015",336014.5
China Mobile,"July 1, 2015",243186.0
ExxonMobil,"January 1, 2015",356548.7
ExxonMobil,"October 1, 2015",325167.0
ExxonMobil,"July 1, 2015",304245.0
ExxonMobil,"April 1, 2015",347868.1
General Electric,"April 1, 2015",267717.4
General Electric ,"October 1, 2015",313892.0
General Electric ,"July 1, 2015",248069.0
Google,"January 1, 2015",345849.2
Google,"April 1, 2015",336014.5
Google ,"July 1, 2015",407870.0
ICBC,"April 1, 2015",298531.5
ICBC,"January 1, 2015",275389.1
JPMorgan Chase,"October 1, 2015",245126.0
Johnson & Johnson,"October 1, 2015",287153.0
Johnson & Johnson,"July 1, 2015",257637.0
Johnson & Johnson,"April 1, 2015",270260.8
Johnson & Johnson,"January 1, 2015",279723.9
Microsoft ,"January 1, 2015",333524.8
Microsoft ,"October 1, 2015",449799.0
Microsoft ,"July 1, 2015",347432.0
Microsoft ,"April 1, 2015",357154.4
Nestlé,"July 1, 2015",233361.0
Novartis,"July 1, 2015",240373.0
Novartis,"January 1, 2015",267897.0
Petro China,"January 1, 2015",329715.1
Petro China,"April 1, 2015",319391.6
Wells Fargo,"October 1, 2015",281770.0
Wells Fargo,"April 1, 2015",289591.3
Wells Fargo,"January 1, 2015",279919.7
Apple,"January 1, 2014",478766.1
Apple,"April 1, 2014",560337.4
Apple,"October 1, 2014",647361.0
Apple,"July 1, 2014",603277.4
Berkshire Hathaway,"January 1, 2014",308090.6
Berkshire Hathaway,"October 1, 2014",370652.6
Berkshire Hathaway,"April 1, 2014",312216.7
Berkshire Hathaway,"July 1, 2014",340055.0
ExxonMobil,"October 1, 2014",391481.9
ExxonMobil,"January 1, 2014",422098.3
ExxonMobil,"April 1, 2014",432357.3
ExxonMobil,"July 1, 2014",401094.1
General Electric,"January 1, 2014",259547.3
General Electric,"April 1, 2014",263529.6
General Electric,"July 1, 2014",257068.4
Google,"October 1, 2014",329768.5
Google,"April 1, 2014",358347.3
Google,"July 1, 2014",361998.4
Google,"January 1, 2014",313003.9
Hoffmann-La Roche,"July 1, 2014",254543.8
Hoffmann-La Roche,"April 1, 2014",256322.8
Hoffmann-La Roche,"January 1, 2014",258542.1
ICBC,"October 1, 2014",271146.1
Johnson & Johnson,"April 1, 2014",295980.1
Johnson & Johnson,"July 1, 2014",300614.2
Johnson & Johnson,"January 1, 2014",277826.2
Johnson & Johnson,"October 1, 2014",292702.8
Microsoft ,"April 1, 2014",344458.8
Microsoft ,"July 1, 2014",381959.7
Microsoft ,"October 1, 2014",382880.3
Microsoft ,"January 1, 2014",340216.8
Novartis,"July 1, 2014",255326.4
PetroChina,"October 1, 2014",305536.1
Royal Dutch Shell ,"April 1, 2014",269563.4
Walmart,"January 1, 2014",246805.7
Walmart,"October 1, 2014",276807.4
Wells Fargo,"October 1, 2014",284385.6
Wells Fargo,"April 1, 2014",276837.0
Wells Fargo,"July 1, 2014",270782.4
Wells Fargo,"January 1, 2014",261217.5
Apple,"January 1, 2013",415683.3
Apple ,"October 1, 2013",504770.8
Apple ,"July 1, 2013",433099.6
Apple ,"April 1, 2013",372202.3
Berkshire Hathaway,"October 1, 2013",292396.0
Berkshire Hathaway,"January 1, 2013",256801.8
Berkshire Hathaway,"July 1, 2013",280001.5
Berkshire Hathaway,"April 1, 2013",276548.5
Chevron Corporation,"July 1, 2013",234740.8
Chevron Corporation,"April 1, 2013",229402.6
Chevron Corporation,"January 1, 2013",230831.2
Chevron Corporation ,"October 1, 2013",240223.4
ExxonMobil,"January 1, 2013",403733.1
ExxonMobil,"July 1, 2013",378716.2
ExxonMobil ,"October 1, 2013",442142.8
ExxonMobil ,"April 1, 2013",401729.8
General Electric,"July 1, 2013",243290.4
General Electric,"October 1, 2013",283589.8
General Electric,"April 1, 2013",239787.2
General Electric,"January 1, 2013",239775.6
Google,"April 1, 2013",238688.6
Google ,"October 1, 2013",310079.1
Google ,"July 1, 2013",237479.4
Hoffmann-La Roche,"July 1, 2013",232495.2
Hoffmann-La Roche ,"October 1, 2013",241368.0
IBM,"January 1, 2013",237724.7
ICBC,"April 1, 2013",226879.8
Johnson & Johnson,"July 1, 2013",244298.5
Johnson & Johnson,"April 1, 2013",241170.9
Johnson & Johnson,"October 1, 2013",258415.4
Microsoft,"October 1, 2013",312297.3
Microsoft ,"July 1, 2013",277220.9
Microsoft ,"January 1, 2013",239602.3
Microsoft ,"April 1, 2013",288488.8
Nestlé,"January 1, 2013",233792.1
PetroChina,"January 1, 2013",254618.7
Walmart,"January 1, 2013",246373.3
Walmart,"April 1, 2013",244079.4
Walmart,"July 1, 2013",240773.3
Walmart ,"October 1, 2013",254622.8
Apple,"January 1, 2012",559002.1
Apple,"July 1, 2012",625348.1
Apple,"October 1, 2012",500610.7
Apple,"April 1, 2012",546076.1
BHP Billiton ,"October 1, 2012",247409.0
Chevron Corporation,"July 1, 2012",228707.1
Chevron Corporation,"January 1, 2012",211950.6
China Mobile,"October 1, 2012",234040.2
China Mobile,"April 1, 2012",219481.3
China Mobile,"July 1, 2012",222817.8
China Mobile,"January 1, 2012",220978.9
ExxonMobil,"October 1, 2012",394610.9
ExxonMobil,"April 1, 2012",400139.1
ExxonMobil,"January 1, 2012",408777.4
ExxonMobil,"July 1, 2012",422127.5
General Electric,"January 1, 2012",212317.7
General Electric,"April 1, 2012",220806.3
General Electric,"July 1, 2012",239791.2
IBM,"April 1, 2012",225598.5
IBM,"January 1, 2012",241754.6
IBM,"July 1, 2012",237068.4
ICBC,"January 1, 2012",236335.4
ICBC ,"October 1, 2012",236457.9
ICBC ,"April 1, 2012",211196.0
Microsoft,"October 1, 2012",224801.0
Microsoft,"April 1, 2012",256982.4
Microsoft,"January 1, 2012",270644.1
Microsoft,"July 1, 2012",249489.8
PetroChina,"July 1, 2012",253853.3
PetroChina,"April 1, 2012",257685.8
PetroChina,"October 1, 2012",264833.4
PetroChina,"January 1, 2012",278968.4
Royal Dutch Shell ,"April 1, 2012",217048.2
Royal Dutch Shell ,"July 1, 2012",222669.6
Royal Dutch Shell ,"January 1, 2012",222425.1
Royal Dutch Shell ,"October 1, 2012",222669.6
Samsung Electronics,"October 1, 2012",227581.8
Walmart,"July 1, 2012",248074.4
Walmart,"April 1, 2012",235900.3
Walmart,"October 1, 2012",228245.4
Apple,"January 1, 2011",321072.1
Apple,"October 1, 2011",376410.6
Apple,"April 1, 2011",310412.3
Apple,"July 1, 2011",353518.1
BHP Billiton,"January 1, 2011",247079.5
BHP Billiton,"April 1, 2011",233626.5
Chevron Corporation,"October 1, 2011",211893.9
Chevron Corporation,"July 1, 2011",185456.1
Chevron Corporation,"January 1, 2011",215780.6
China Construction Bank,"January 1, 2011",232608.6
China Mobile,"October 1, 2011",196148.4
China Mobile,"July 1, 2011",198778.7
ExxonMobil,"October 1, 2011",406272.1
ExxonMobil,"July 1, 2011",353135.2
ExxonMobil,"January 1, 2011",417166.7
ExxonMobil,"April 1, 2011",400884.5
IBM,"April 1, 2011",207781.4
IBM,"October 1, 2011",216724.4
IBM,"July 1, 2011",208843.5
ICBC,"January 1, 2011",251078.1
ICBC,"April 1, 2011",246850.5
ICBC,"July 1, 2011",206021.4
ICBC,"October 1, 2011",228168.1
Microsoft,"October 1, 2011",218380.1
Microsoft,"January 1, 2011",213336.4
Microsoft,"April 1, 2011",219251.9
Microsoft,"July 1, 2011",208534.9
Nestlé,"July 1, 2011",191115.6
Nestlé,"April 1, 2011",215017.5
PetroChina,"April 1, 2011",303649.9
PetroChina,"January 1, 2011",326199.2
PetroChina,"October 1, 2011",276844.9
PetroChina,"July 1, 2011",276473.9
Petrobras,"April 1, 2011",210111.4
Petrobras,"January 1, 2011",247417.6
Royal Dutch Shell,"April 1, 2011",225122.8
Royal Dutch Shell,"January 1, 2011",226128.7
Royal Dutch Shell,"October 1, 2011",236677.0
Royal Dutch Shell,"July 1, 2011",197061.1
Walmart,"October 1, 2011",204659.8
Apple,"July 1, 2010",259223.4
Apple,"April 1, 2010",228876.8
Apple,"October 1, 2010",295886.3
Apple,"January 1, 2010",213096.7
BHP Billiton,"October 1, 2010",243540.3
BHP Billiton,"January 1, 2010",209935.1
BHP Billiton,"July 1, 2010",196866.0
Berkshire Hathaway,"April 1, 2010",197356.8
Berkshire Hathaway,"July 1, 2010",204792.0
Berkshire Hathaway,"January 1, 2010",200620.5
China Construction Bank,"October 1, 2010",222245.1
China Construction Bank,"July 1, 2010",202998.4
China Construction Bank,"April 1, 2010",189170.7
China Mobile,"January 1, 2010",192998.6
China Mobile,"July 1, 2010",205339.6
China Mobile,"April 1, 2010",201471.2
ExxonMobil,"July 1, 2010",314622.5
